jar:file:digits.jar!/testing/6/4814.png, label = 6, predict = 0
jar:file:digits.jar!/testing/5/4915.png, label = 5, predict = 8
jar:file:digits.jar!/testing/6/2754.png, label = 6, predict = 0
jar:file:digits.jar!/testing/6/66.png, label = 6, predict = 2
jar:file:digits.jar!/testing/5/9982.png, label = 5, predict = 2
jar:file:digits.jar!/testing/6/1044.png, label = 6, predict = 8
jar:file:digits.jar!/testing/7/3730.png, label = 7, predict = 9
jar:file:digits.jar!/testing/0/3574.png, label = 0, predict = 9
jar:file:digits.jar!/testing/6/2976.png, label = 6, predict = 5
jar:file:digits.jar!/testing/9/5210.png, label = 9, predict = 3
jar:file:digits.jar!/testing/8/6347.png, label = 8, predict = 1
jar:file:digits.jar!/testing/9/9843.png, label = 9, predict = 7
jar:file:digits.jar!/testing/7/3808.png, label = 7, predict = 3
jar:file:digits.jar!/testing/2/9716.png, label = 2, predict = 5
jar:file:digits.jar!/testing/9/8182.png, label = 9, predict = 7
jar:file:digits.jar!/testing/3/6517.png, label = 3, predict = 5
jar:file:digits.jar!/testing/8/947.png, label = 8, predict = 4
jar:file:digits.jar!/testing/9/2720.png, label = 9, predict = 4
jar:file:digits.jar!/testing/6/2116.png, label = 6, predict = 5
jar:file:digits.jar!/testing/5/9970.png, label = 5, predict = 3
jar:file:digits.jar!/testing/9/6376.png, label = 9, predict = 4
jar:file:digits.jar!/testing/2/1749.png, label = 2, predict = 8
jar:file:digits.jar!/testing/2/9839.png, label = 2, predict = 7
jar:file:digits.jar!/testing/9/5523.png, label = 9, predict = 7
jar:file:digits.jar!/testing/6/3269.png, label = 6, predict = 3
jar:file:digits.jar!/testing/6/2718.png, label = 6, predict = 8
jar:file:digits.jar!/testing/9/6718.png, label = 9, predict = 4
jar:file:digits.jar!/testing/8/1101.png, label = 8, predict = 2
jar:file:digits.jar!/testing/5/2925.png, label = 5, predict = 0
jar:file:digits.jar!/testing/5/1421.png, label = 5, predict = 4
jar:file:digits.jar!/testing/8/1068.png, label = 8, predict = 4
jar:file:digits.jar!/testing/7/4199.png, label = 7, predict = 9
jar:file:digits.jar!/testing/5/4330.png, label = 5, predict = 8
jar:file:digits.jar!/testing/6/6038.png, label = 6, predict = 4
jar:file:digits.jar!/testing/9/488.png, label = 9, predict = 7
jar:file:digits.jar!/testing/9/6658.png, label = 9, predict = 7
jar:file:digits.jar!/testing/8/1033.png, label = 8, predict = 3
jar:file:digits.jar!/testing/9/8426.png, label = 9, predict = 4
jar:file:digits.jar!/testing/6/4798.png, label = 6, predict = 8
jar:file:digits.jar!/testing/9/1045.png, label = 9, predict = 5
jar:file:digits.jar!/testing/7/9560.png, label = 7, predict = 9
jar:file:digits.jar!/testing/7/5714.png, label = 7, predict = 9
jar:file:digits.jar!/testing/6/2454.png, label = 6, predict = 8
jar:file:digits.jar!/testing/6/4702.png, label = 6, predict = 8
jar:file:digits.jar!/testing/9/1414.png, label = 9, predict = 4
jar:file:digits.jar!/testing/5/4196.png, label = 5, predict = 3
jar:file:digits.jar!/testing/3/5074.png, label = 3, predict = 5
jar:file:digits.jar!/testing/2/7945.png, label = 2, predict = 4
jar:file:digits.jar!/testing/3/1469.png, label = 3, predict = 2
jar:file:digits.jar!/testing/3/5734.png, label = 3, predict = 7
jar:file:digits.jar!/testing/7/1494.png, label = 7, predict = 9
jar:file:digits.jar!/testing/9/4425.png, label = 9, predict = 4
jar:file:digits.jar!/testing/8/4545.png, label = 8, predict = 9
jar:file:digits.jar!/testing/1/4212.png, label = 1, predict = 3
jar:file:digits.jar!/testing/8/1125.png, label = 8, predict = 3
jar:file:digits.jar!/testing/3/1315.png, label = 3, predict = 5
jar:file:digits.jar!/testing/5/1917.png, label = 5, predict = 8
jar:file:digits.jar!/testing/2/3436.png, label = 2, predict = 1
jar:file:digits.jar!/testing/2/1984.png, label = 2, predict = 0
jar:file:digits.jar!/testing/7/3836.png, label = 7, predict = 8
jar:file:digits.jar!/testing/6/1017.png, label = 6, predict = 2
jar:file:digits.jar!/testing/0/9016.png, label = 0, predict = 5
jar:file:digits.jar!/testing/9/6671.png, label = 9, predict = 7
jar:file:digits.jar!/testing/9/1192.png, label = 9, predict = 4
jar:file:digits.jar!/testing/5/1637.png, label = 5, predict = 3
jar:file:digits.jar!/testing/8/2093.png, label = 8, predict = 3
jar:file:digits.jar!/testing/8/5611.png, label = 8, predict = 1
jar:file:digits.jar!/testing/6/6691.png, label = 6, predict = 5
jar:file:digits.jar!/testing/7/5620.png, label = 7, predict = 9
jar:file:digits.jar!/testing/8/4807.png, label = 8, predict = 3
jar:file:digits.jar!/testing/9/3597.png, label = 9, predict = 3
jar:file:digits.jar!/testing/6/9782.png, label = 6, predict = 2
jar:file:digits.jar!/testing/6/1800.png, label = 6, predict = 4
jar:file:digits.jar!/testing/5/4076.png, label = 5, predict = 9
jar:file:digits.jar!/testing/9/7459.png, label = 9, predict = 5
jar:file:digits.jar!/testing/2/6111.png, label = 2, predict = 8
jar:file:digits.jar!/testing/8/4978.png, label = 8, predict = 5
jar:file:digits.jar!/testing/2/6744.png, label = 2, predict = 8
jar:file:digits.jar!/testing/9/8457.png, label = 9, predict = 7
jar:file:digits.jar!/testing/8/8413.png, label = 8, predict = 5
jar:file:digits.jar!/testing/9/7071.png, label = 9, predict = 7
jar:file:digits.jar!/testing/2/4427.png, label = 2, predict = 8
jar:file:digits.jar!/testing/6/2651.png, label = 6, predict = 5
jar:file:digits.jar!/testing/5/3806.png, label = 5, predict = 8
jar:file:digits.jar!/testing/8/4820.png, label = 8, predict = 3
jar:file:digits.jar!/testing/5/3756.png, label = 5, predict = 3
jar:file:digits.jar!/testing/3/7849.png, label = 3, predict = 9
jar:file:digits.jar!/testing/2/4656.png, label = 2, predict = 4
jar:file:digits.jar!/testing/5/1684.png, label = 5, predict = 8
jar:file:digits.jar!/testing/8/7545.png, label = 8, predict = 9
jar:file:digits.jar!/testing/5/6042.png, label = 5, predict = 3
jar:file:digits.jar!/testing/2/8094.png, label = 2, predict = 1
jar:file:digits.jar!/testing/9/9945.png, label = 9, predict = 4
jar:file:digits.jar!/testing/8/9110.png, label = 8, predict = 2
jar:file:digits.jar!/testing/2/2374.png, label = 2, predict = 8
jar:file:digits.jar!/testing/8/3186.png, label = 8, predict = 4
jar:file:digits.jar!/testing/8/3002.png, label = 8, predict = 5
jar:file:digits.jar!/testing/7/2915.png, label = 7, predict = 3
jar:file:digits.jar!/testing/9/7081.png, label = 9, predict = 7
jar:file:digits.jar!/testing/2/9803.png, label = 2, predict = 8
jar:file:digits.jar!/testing/2/4482.png, label = 2, predict = 3
jar:file:digits.jar!/testing/4/7338.png, label = 4, predict = 8
jar:file:digits.jar!/testing/9/4174.png, label = 9, predict = 4
jar:file:digits.jar!/testing/6/2860.png, label = 6, predict = 2
jar:file:digits.jar!/testing/6/5963.png, label = 6, predict = 4
jar:file:digits.jar!/testing/6/1725.png, label = 6, predict = 8
jar:file:digits.jar!/testing/3/4306.png, label = 3, predict = 7
jar:file:digits.jar!/testing/9/5311.png, label = 9, predict = 7
jar:file:digits.jar!/testing/8/5360.png, label = 8, predict = 7
jar:file:digits.jar!/testing/9/6112.png, label = 9, predict = 8
jar:file:digits.jar!/testing/0/3764.png, label = 0, predict = 7
jar:file:digits.jar!/testing/6/2079.png, label = 6, predict = 8
jar:file:digits.jar!/testing/6/8311.png, label = 6, predict = 4
jar:file:digits.jar!/testing/9/3404.png, label = 9, predict = 8
jar:file:digits.jar!/testing/8/1198.png, label = 8, predict = 4
jar:file:digits.jar!/testing/9/6168.png, label = 9, predict = 3
jar:file:digits.jar!/testing/7/684.png, label = 7, predict = 3
jar:file:digits.jar!/testing/9/4761.png, label = 9, predict = 3
jar:file:digits.jar!/testing/5/6880.png, label = 5, predict = 8
jar:file:digits.jar!/testing/9/4534.png, label = 9, predict = 8
jar:file:digits.jar!/testing/8/3727.png, label = 8, predict = 5
jar:file:digits.jar!/testing/6/2135.png, label = 6, predict = 1
jar:file:digits.jar!/testing/4/3288.png, label = 4, predict = 9
jar:file:digits.jar!/testing/2/256.png, label = 2, predict = 1
jar:file:digits.jar!/testing/9/4016.png, label = 9, predict = 7
jar:file:digits.jar!/testing/9/6081.png, label = 9, predict = 3
jar:file:digits.jar!/testing/7/4238.png, label = 7, predict = 4
jar:file:digits.jar!/testing/6/9607.png, label = 6, predict = 5
jar:file:digits.jar!/testing/8/5644.png, label = 8, predict = 5
jar:file:digits.jar!/testing/6/2702.png, label = 6, predict = 0
jar:file:digits.jar!/testing/9/5001.png, label = 9, predict = 8
jar:file:digits.jar!/testing/5/3468.png, label = 5, predict = 4
jar:file:digits.jar!/testing/5/4356.png, label = 5, predict = 8
jar:file:digits.jar!/testing/5/120.png, label = 5, predict = 3
jar:file:digits.jar!/testing/2/2635.png, label = 2, predict = 8
jar:file:digits.jar!/testing/8/5278.png, label = 8, predict = 7
jar:file:digits.jar!/testing/7/4578.png, label = 7, predict = 9
jar:file:digits.jar!/testing/4/9835.png, label = 4, predict = 8
jar:file:digits.jar!/testing/9/7043.png, label = 9, predict = 7
jar:file:digits.jar!/testing/1/9612.png, label = 1, predict = 8
test error rate = 0.14
